"","clust","nh","land_in_acre","agri1c","profit_per_acre"
"387",4385,19,9,12610586.3095238,1401176.25661376
"388",4385,2,6,12702323.5238095,2117053.92063492
"389",4385,20,20,2435443.33333333,121772.166666667
"390",4385,5,25,5857616.66666667,234304.666666667
"391",4385,6,7,1313866.66666667,187695.238095238
"392",4385,7,10,6907846.66666667,690784.666666667
"393",4385,8,15,2365280.71428571,157685.380952381
"394",4385,9,6,2368205.23809524,394700.873015873
"395",4389,1,0.00625,5571494.64285714,891439142.857143
"396",4389,10,0.00625,248250,39720000
"397",4389,11,0.00625,2317121.19047619,370739390.476191
"398",4389,12,0.00625,316300,50608000
"399",4389,13,11,2569118.608647,233556.237149728
"400",4389,14,5,2012801.71428571,402560.342857143
"401",4389,15,15,4214365.52380952,280957.701587302
"402",4389,16,18,3660746.66666667,203374.814814815
"403",4389,17,7,158340,22620
"404",4389,18,7,2167186.66666667,309598.095238095
"405",4389,19,68,9176687.64577259,134951.288908421
"406",4389,20,32,3271442.73585572,102232.585495491
"407",4389,3,0.00918274,1225096.66666667,133412975.502591
"408",4389,4,0.01836548,3586059.14241662,195260844.933899
"409",4389,5,0.00918274,17829785.7142857,1941662914.80383
"410",4389,6,0.00918274,1225476.66666667,133454357.486618
"411",4389,8,0.00918274,4470152.14285714,486799380.452582
"412",4389,9,0.00918274,2190903.33333333,238589280.904538
"413",4392,11,0.0625,1373382.20238095,21974115.2380952
"414",4392,12,0.01875,3733160.47619048,199101892.063492
"415",4392,13,50,2778425.61568654,55568.5123137308
"416",4392,14,0.04375,1367350.19047619,31253718.6394558
"417",4392,5,6,7075036.72619048,1179172.78769841
"418",4392,6,0.06875,1133195.59689953,16482845.0458114
"419",4395,4,18,698393.333333333,38799.6296296296
"420",4395,5,75,4436883.45238095,59158.446031746
"421",4399,1,0.15625,3257750.03919861,20849600.2508711
"422",4399,11,0.05,4360133.69047619,87202673.8095238
"423",4399,13,0.0125,2395651.42857143,191652114.285714
"424",4399,16,0.025,3758439.67661909,150337587.064764
"425",4399,20,2,2842686.96991271,1421343.48495635
"426",4399,7,0.125,2110047.97619048,16880383.8095238
"427",4399,9,12,2065006.66666667,172083.888888889
"428",4402,11,50,3021489.04761905,60429.7809523809
"429",4402,12,40,2254712.0952381,56367.8023809524
"430",4402,13,4,483833.333333333,120958.333333333
