nh,clust,Amount_withdrawn_from_savings,Honey,land_in_acre,agri1c,profit_per_acre
14,4615,0,0,100,1405917.73809524,14059.1773809524
14,4615,650000,0,100,1405917.73809524,14059.1773809524
14,4615,9e+05,0,100,1405917.73809524,14059.1773809524
14,4615,50000,0,100,1405917.73809524,14059.1773809524
14,4615,0,0,100,1405917.73809524,14059.1773809524
14,4619,35000,0,13,757122.380952381,58240.1831501831
14,4622,0,0,17,4394899.64285714,258523.508403361
14,4622,450000,0,17,4394899.64285714,258523.508403361
14,4655,160000,0,3,6607245.71428572,2202415.23809524
14,4672,45000,0,0.0625,1254841.07142857,20077457.1428571
14,4672,1e+05,0,0.0625,1254841.07142857,20077457.1428571
14,4755,150000,0,4,2705671.78571429,676417.946428571
14,4755,4e+05,0,4,2705671.78571429,676417.946428571
14,4765,1e+05,0,10,2342776.01190476,234277.601190476
14,4790,50000,0,36,1683719.64285714,46769.9900793651
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4792,0,0,0.05509644,1838322.77269601,33365545.445332
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4862,0,0,8,2039.28571428568,254.91071428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4879,0,0,6,416972.142857143,69495.3571428571
14,4882,0,0,3,230616.19047619,76872.0634920635
14,4882,0,0,3,230616.19047619,76872.0634920635
14,4882,0,0,3,230616.19047619,76872.0634920635
14,4882,0,0,3,230616.19047619,76872.0634920635
14,4882,0,0,3,230616.19047619,76872.0634920635
