nh,clust,Amount_spend_on_self_help_project
1,4252,0
2,4252,0
3,4252,0
4,4252,0
5,4252,0
6,4252,0
7,4252,0
8,4252,0
9,4252,0
10,4252,0
11,4252,0
12,4252,0
13,4252,0
14,4252,0
15,4252,0
16,4252,0
17,4252,0
18,4252,0
19,4252,0
20,4252,0
1,4255,0
2,4255,0
3,4255,0
4,4255,0
5,4255,0
6,4255,0
7,4255,0
8,4255,0
9,4255,0
10,4255,0
11,4255,0
12,4255,0
13,4255,0
14,4255,0
15,4255,0
16,4255,0
17,4255,0
18,4255,0
19,4255,0
20,4255,0
1,4259,0
2,4259,0
3,4259,0
4,4259,0
5,4259,0
6,4259,0
7,4259,0
8,4259,0
9,4259,0
10,4259,0
11,4259,0
12,4259,0
13,4259,0
14,4259,0
15,4259,0
16,4259,0
17,4259,0
18,4259,0
19,4259,0
20,4259,0
1,4262,1e+06
2,4262,3e+05
3,4262,0
4,4262,0
5,4262,0
6,4262,0
7,4262,0
8,4262,0
10,4262,0
11,4262,2e+06
13,4262,0
14,4262,0
15,4262,0
16,4262,0
17,4262,0
18,4262,0
19,4262,0
20,4262,0
21,4262,0
22,4262,0
1,4265,360000
2,4265,0
3,4265,0
4,4265,12000
5,4265,12000
6,4265,0
7,4265,0
8,4265,360000
9,4265,60000
10,4265,0
11,4265,0
12,4265,0
13,4265,0
14,4265,0
15,4265,0
16,4265,0
17,4265,10000
18,4265,24000
19,4265,0
20,4265,0
1,4269,0
2,4269,0
3,4269,0
5,4269,0
6,4269,0
7,4269,0
8,4269,0
9,4269,0
10,4269,0
11,4269,0
12,4269,0
14,4269,0
15,4269,0
16,4269,0
17,4269,0
18,4269,0
19,4269,0
20,4269,0
21,4269,0
23,4269,0
1,4272,0
2,4272,0
3,4272,0
4,4272,0
5,4272,0
6,4272,0
7,4272,0
8,4272,0
9,4272,0
10,4272,0
11,4272,0
12,4272,0
13,4272,0
14,4272,0
15,4272,0
16,4272,0
17,4272,0
18,4272,0
19,4272,0
20,4272,0
1,4275,0
2,4275,0
3,4275,0
4,4275,0
5,4275,0
6,4275,0
7,4275,0
8,4275,0
9,4275,0
10,4275,0
11,4275,0
12,4275,0
13,4275,0
14,4275,0
15,4275,0
16,4275,0
17,4275,0
18,4275,0
19,4275,0
21,4275,0
1,4279,132000
2,4279,24000
3,4279,0
4,4279,0
5,4279,78000
6,4279,0
7,4279,9600
8,4279,0
9,4279,0
10,4279,240000
11,4279,156000
12,4279,0
13,4279,60000
14,4279,0
15,4279,0
16,4279,0
17,4279,60000
18,4279,0
19,4279,24000
20,4279,0
1,4282,286000
2,4282,0
3,4282,5000
4,4282,0
5,4282,0
6,4282,0
7,4282,0
8,4282,0
9,4282,0
10,4282,0
11,4282,0
12,4282,0
13,4282,20000
14,4282,24000
15,4282,0
16,4282,282000
17,4282,0
18,4282,26000
19,4282,0
20,4282,12000
1,4285,0
2,4285,0
3,4285,0
4,4285,30000
5,4285,0
6,4285,0
7,4285,0
8,4285,0
9,4285,0
10,4285,0
11,4285,0
12,4285,0
13,4285,0
14,4285,0
15,4285,0
16,4285,0
17,4285,0
18,4285,0
19,4285,0
20,4285,0
1,4289,1e+05
2,4289,0
3,4289,5000
4,4289,10000
5,4289,30000
6,4289,0
7,4289,60000
8,4289,50000
9,4289,0
10,4289,5000
11,4289,0
12,4289,10000
13,4289,0
14,4289,0
15,4289,0
16,4289,0
17,4289,10000
18,4289,10000
19,4289,10000
20,4289,0
1,4292,0
2,4292,0
3,4292,0
4,4292,0
5,4292,0
6,4292,0
7,4292,0
8,4292,0
9,4292,0
10,4292,0
11,4292,0
12,4292,0
13,4292,0
14,4292,0
16,4292,0
17,4292,0
18,4292,0
19,4292,60000
20,4292,0
22,4292,0
1,4295,0
2,4295,0
3,4295,0
4,4295,0
5,4295,0
6,4295,0
7,4295,0
8,4295,0
9,4295,0
10,4295,0
11,4295,0
12,4295,0
13,4295,0
14,4295,0
15,4295,0
16,4295,0
17,4295,0
18,4295,0
19,4295,0
20,4295,0
1,4299,18000
2,4299,0
3,4299,0
4,4299,0
5,4299,18000
6,4299,36000
7,4299,0
8,4299,18000
9,4299,6000
10,4299,0
11,4299,20000
12,4299,0
13,4299,0
14,4299,0
15,4299,0
16,4299,0
17,4299,0
18,4299,0
19,4299,0
20,4299,0
1,4302,12000
2,4302,10800
3,4302,0
4,4302,0
5,4302,0
6,4302,0
7,4302,0
8,4302,180000
9,4302,12000
10,4302,0
11,4302,0
12,4302,0
13,4302,0
14,4302,0
15,4302,0
16,4302,0
17,4302,12000
18,4302,2400
19,4302,180000
20,4302,0
1,4305,0
2,4305,0
3,4305,0
4,4305,0
5,4305,0
6,4305,0
7,4305,0
8,4305,0
9,4305,0
10,4305,0
11,4305,0
12,4305,0
13,4305,0
14,4305,0
15,4305,0
16,4305,0
17,4305,0
18,4305,0
19,4305,0
20,4305,0
1,4309,0
2,4309,0
3,4309,0
4,4309,0
5,4309,0
6,4309,0
7,4309,0
8,4309,0
9,4309,0
10,4309,0
11,4309,0
12,4309,0
13,4309,0
17,4309,0
18,4309,0
19,4309,0
20,4309,0
22,4309,0
