nh,clust,Source_of_item
16,4072,1.74980057982641e+100
16,4072,1.74980057982641e+100
16,4072,1.74980057982641e+100
18,4072,2
18,4072,2
18,4072,2
18,4072,1.74980057982641e+100
18,4072,1.74980057982641e+100
19,4072,2
19,4072,2
19,4072,2
19,4072,1.74980057982641e+100
19,4072,1.74980057982641e+100
19,4072,1.74980057982641e+100
19,4072,3
20,4072,1.74980057982641e+100
20,4072,1.74980057982641e+100
1,4075,1
1,4075,1
1,4075,1.74980057982641e+100
1,4075,1.74980057982641e+100
1,4075,1.74980057982641e+100
2,4075,1.74980057982641e+100
2,4075,1.74980057982641e+100
3,4075,1
3,4075,1.74980057982641e+100
3,4075,1.74980057982641e+100
3,4075,1.74980057982641e+100
4,4075,1
4,4075,1
4,4075,1.74980057982641e+100
5,4075,3
5,4075,1.74980057982641e+100
5,4075,1.74980057982641e+100
5,4075,1.74980057982641e+100
6,4075,1.74980057982641e+100
7,4075,1
7,4075,1.74980057982641e+100
7,4075,1.74980057982641e+100
7,4075,1.74980057982641e+100
8,4075,1
8,4075,1.74980057982641e+100
9,4075,1.74980057982641e+100
9,4075,1.74980057982641e+100
10,4075,1
10,4075,1.74980057982641e+100
10,4075,1.74980057982641e+100
10,4075,1.74980057982641e+100
11,4075,1.74980057982641e+100
11,4075,1.74980057982641e+100
11,4075,1.74980057982641e+100
12,4075,1.74980057982641e+100
13,4075,1
13,4075,1.74980057982641e+100
13,4075,1.74980057982641e+100
14,4075,1
14,4075,1.74980057982641e+100
15,4075,1
15,4075,1.74980057982641e+100
15,4075,1.74980057982641e+100
15,4075,1.74980057982641e+100
16,4075,1
16,4075,1.74980057982641e+100
16,4075,1.74980057982641e+100
16,4075,1.74980057982641e+100
18,4075,1
18,4075,1
18,4075,1.74980057982641e+100
18,4075,1.74980057982641e+100
18,4075,1.74980057982641e+100
18,4075,1.74980057982641e+100
19,4075,1
19,4075,1
19,4075,1.74980057982641e+100
19,4075,1.74980057982641e+100
19,4075,1.74980057982641e+100
19,4075,1.74980057982641e+100
20,4075,1
20,4075,1
20,4075,1.74980057982641e+100
20,4075,1.74980057982641e+100
22,4075,1
22,4075,1
22,4075,1.74980057982641e+100
22,4075,1.74980057982641e+100
22,4075,1.74980057982641e+100
1,4079,1
1,4079,1.74980057982641e+100
1,4079,1.74980057982641e+100
1,4079,1
2,4079,1
2,4079,1
2,4079,1.74980057982641e+100
2,4079,1.74980057982641e+100
2,4079,1
2,4079,3
2,4079,1.74980057982641e+100
2,4079,1.74980057982641e+100
3,4079,3
3,4079,1
3,4079,1
3,4079,1.74980057982641e+100
4,4079,3
4,4079,1
4,4079,1.74980057982641e+100
5,4079,1
5,4079,1.74980057982641e+100
5,4079,3
6,4079,3
6,4079,1.74980057982641e+100
6,4079,1
6,4079,1
6,4079,1.74980057982641e+100
6,4079,1
6,4079,3
6,4079,1.74980057982641e+100
6,4079,1.74980057982641e+100
6,4079,1
7,4079,3
7,4079,1.74980057982641e+100
7,4079,1
7,4079,1.74980057982641e+100
7,4079,1.74980057982641e+100
7,4079,1.74980057982641e+100
8,4079,3
8,4079,1
8,4079,1.74980057982641e+100
8,4079,1.74980057982641e+100
9,4079,1
9,4079,1
9,4079,2
9,4079,1
9,4079,1
10,4079,1
10,4079,1
10,4079,1
10,4079,1.74980057982641e+100
10,4079,1.74980057982641e+100
10,4079,1.74980057982641e+100
11,4079,1
11,4079,1
11,4079,1.74980057982641e+100
11,4079,1.74980057982641e+100
12,4079,1.74980057982641e+100
12,4079,1
12,4079,1.74980057982641e+100
12,4079,1.74980057982641e+100
13,4079,3
13,4079,1
13,4079,1.74980057982641e+100
