nh,clust,Amount_withdrawn_from_savings
5,4512,0
12,4515,2e+06
1,4519,2e+05
11,4519,7e+05
11,4519,1356000
16,4519,0
1,4522,80000
4,4522,0
7,4522,250000
9,4522,3e+05
10,4522,0
11,4522,1e+05
11,4522,5e+05
13,4522,0
13,4522,0
16,4522,0
19,4522,0
20,4522,0
3,4525,0
5,4525,20000
8,4525,0
12,4525,50000
14,4525,10000
15,4525,2e+05
17,4525,55000
1,4529,0
7,4529,0
8,4529,0
11,4529,0
20,4529,0
10,4532,8e+05
18,4532,0
19,4532,0
1,4535,1200000
1,4535,4e+05
2,4535,0
5,4535,1.74980057982641e+100
6,4535,0
8,4535,0
11,4535,0
11,4535,0
18,4535,0
19,4535,20000
20,4535,0
1,4539,180000
2,4539,0
3,4539,120000
4,4539,2e+05
4,4539,5e+05
6,4539,350000
6,4539,80000
8,4539,5e+05
9,4539,3e+05
10,4539,120000
10,4539,240000
12,4539,250000
13,4539,150000
15,4539,2e+05
16,4539,850000
16,4539,3e+05
19,4539,0
19,4539,8e+05
19,4539,350000
20,4539,3e+05
2,4542,1e+05
6,4542,0
7,4542,3e+05
13,4542,0
3,4545,44000
7,4545,0
13,4545,0
14,4545,1e+06
11,4549,3e+05
3,4552,1e+05
6,4552,40000
9,4552,0
9,4552,58000
12,4552,130000
12,4552,80000
16,4552,0
16,4552,0
18,4552,0
19,4552,650000
19,4552,3e+05
1,4555,0
9,4555,1.74980057982641e+100
18,4555,0
20,4555,7e+05
1,4559,1800000
2,4559,85000
4,4559,1.74980057982641e+100
5,4559,1.74980057982641e+100
7,4559,1500000
10,4559,0
11,4559,1.74980057982641e+100
15,4559,0
6,4562,1.74980057982641e+100
11,4562,0
16,4562,0
1,4565,50000
5,4565,0
7,4565,0
12,4565,150000
13,4565,0
14,4565,0
15,4565,1.74980057982641e+100
16,4565,1.74980057982641e+100
19,4565,1.74980057982641e+100
20,4565,0
20,4565,0
21,4565,0
7,4569,0
12,4569,0
4,4572,90000
4,4572,3e+05
8,4572,0
9,4572,250000
10,4572,240000
11,4572,150000
12,4572,0
15,4572,90000
12,4575,0
14,4575,0
15,4575,0
15,4575,8e+05
19,4575,50000
1,4579,0
6,4579,60000
17,4579,0
22,4579,0
22,4579,0
1,4582,0
7,4582,30000
9,4582,0
10,4582,0
11,4582,0
14,4582,0
15,4582,0
20,4582,1.4e+07
1,4585,0
3,4585,80000
11,4585,0
14,4585,0
18,4585,0
9,4589,0
12,4589,3e+05
14,4589,15000
21,4589,3e+05
21,4589,60000
12,4592,0
15,4592,0
17,4592,360000
18,4592,0
19,4592,0
4,4595,30000
5,4595,70000
8,4595,1e+06
8,4595,0
9,4595,790000
12,4595,40000
15,4595,40000
16,4595,4e+05
