nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
20,4189,2,2,1
1,4192,1,2,2
2,4192,1,2,2
3,4192,1,2,1
4,4192,1,2,1
5,4192,1,2,2
6,4192,2,2,2
7,4192,1,2,1
8,4192,1,2,2
9,4192,1,2,2
10,4192,1,2,1
11,4192,1,1,2
12,4192,1,2,2
13,4192,1,1,2
14,4192,1,2,1
15,4192,1,2,1
16,4192,1,2,1
17,4192,1,1,1
18,4192,1,1,1
19,4192,1,2,1
20,4192,2,2,1
1,4195,2,2,2
2,4195,2,2,1
3,4195,2,1,1
4,4195,2,1,2
5,4195,2,1,2
6,4195,2,1,2
7,4195,2,1,2
8,4195,2,2,1
9,4195,2,2,1
10,4195,2,2,1
11,4195,2,1,1
12,4195,2,1,2
13,4195,2,1,2
14,4195,2,1,2
15,4195,2,2,1
16,4195,2,2,1
17,4195,2,1,1
18,4195,2,1,2
19,4195,2,1,2
24,4195,2,2,1
1,4199,1,2,1
2,4199,1,1,1
3,4199,1,2,2
4,4199,1,2,2
5,4199,1,1,2
6,4199,1,2,2
7,4199,1,1,1
8,4199,1,1,1
9,4199,1,1,1
10,4199,1,1,2
11,4199,1,1,2
12,4199,1,1,2
13,4199,1,2,1
14,4199,1,2,1
15,4199,2,2,1
16,4199,1,2,1
17,4199,1,2,1
18,4199,1,1,1
19,4199,1,2,2
20,4199,1,2,1
1,4202,2,2,1
2,4202,1,2,2
3,4202,2,2,1
4,4202,1,2,1
5,4202,1,2,1
6,4202,1,2,2
7,4202,2,2,1
8,4202,2,2,1
9,4202,1,2,1
10,4202,2,2,1
11,4202,1,2,2
12,4202,2,2,1
13,4202,2,2,2
14,4202,2,2,1
15,4202,2,2,1
16,4202,2,2,2
17,4202,1,2,1
18,4202,2,2,1
19,4202,2,2,1
22,4202,2,2,1
1,4205,1,2,1
2,4205,2,2,2
3,4205,1,2,2
4,4205,1,2,1
5,4205,1,2,1
6,4205,1,2,1
7,4205,1,1,1
8,4205,1,2,2
9,4205,1,2,2
10,4205,1,2,2
11,4205,1,1,1
12,4205,1,1,1
13,4205,1,2,1
14,4205,1,2,1
15,4205,1,2,2
16,4205,1,2,2
17,4205,1,2,2
18,4205,1,2,1
19,4205,1,2,2
20,4205,1,2,1
1,4209,1,2,2
2,4209,2,1,2
3,4209,1,2,1
4,4209,2,2,2
5,4209,2,2,1
6,4209,1,2,1
7,4209,2,2,1
8,4209,1,2,1
9,4209,2,2,1
10,4209,2,1,2
11,4209,2,2,1
12,4209,1,2,1
13,4209,2,2,1
14,4209,2,2,1
15,4209,1,1,2
16,4209,2,1,1
17,4209,2,2,2
18,4209,2,1,2
