nh,clust,Processed_food_code,Sell_any_processed_food
8,4355,1,2
8,4355,5,2
8,4355,10,2
15,4355,10,1
3,4359,8,1
4,4359,8,2
4,4359,11,1
8,4359,11,2
15,4359,8,2
16,4359,11,2
17,4359,8,2
18,4359,8,2
19,4359,8,2
20,4359,8,2
20,4359,11,2
21,4359,8,2
22,4359,8,2
15,4362,1,1
1,4365,8,2
4,4365,8,2
5,4365,8,2
6,4365,8,2
7,4365,8,2
7,4365,11,2
7,4365,11,2
7,4365,11,2
9,4365,8,2
11,4365,8,2
13,4365,8,2
15,4365,8,2
16,4365,8,2
17,4365,8,2
18,4365,8,1
19,4365,8,2
20,4365,8,1
1,4369,1,2
1,4369,11,1
3,4369,1,2
3,4369,8,1
3,4369,11,2
5,4369,1,2
6,4369,1,2
7,4369,1,2
7,4369,11,2
8,4369,1,2
8,4369,5,2
8,4369,8,1
9,4369,1,2
9,4369,8,1
10,4369,1,2
10,4369,8,2
10,4369,11,2
13,4369,1,2
13,4369,8,1
13,4369,11,2
14,4369,1,2
14,4369,8,2
14,4369,11,1
15,4369,1,2
15,4369,8,1
15,4369,11,2
16,4369,1,2
16,4369,8,1
16,4369,11,2
17,4369,1,2
18,4369,1,2
18,4369,8,1
18,4369,11,1
19,4369,1,2
19,4369,8,1
19,4369,11,2
21,4369,1,2
21,4369,8,2
21,4369,11,2
22,4369,1,2
22,4369,8,1
22,4369,11,1
23,4369,1,2
23,4369,8,1
24,4369,1,2
24,4369,8,1
24,4369,11,2
4,4372,1,2
4,4372,10,2
5,4372,1,2
6,4372,1,2
6,4372,10,2
7,4372,1,2
7,4372,8,2
7,4372,10,2
9,4372,1,2
9,4372,3,2
10,4372,1,2
10,4372,3,2
10,4372,10,2
11,4372,1,2
11,4372,10,2
12,4372,10,2
13,4372,1,2
13,4372,10,2
13,4372,11,1
14,4372,1,2
14,4372,11,1
16,4372,1,2
16,4372,11,1
18,4372,1,2
18,4372,10,2
19,4372,1,2
19,4372,3,2
21,4372,1,2
21,4372,11,1
21,4372,11,1
2,4375,7,2
4,4375,7,1
5,4375,8,2
6,4375,7,1
6,4375,8,2
10,4375,8,2
11,4375,11,1
14,4375,11,2
2,4379,11,2
4,4379,11,1
5,4379,11,2
9,4379,11,2
9,4379,11,2
11,4379,8,2
14,4379,11,2
14,4379,11,2
15,4379,7,1
17,4379,11,2
18,4379,11,2
19,4379,11,2
19,4379,11,2
1,4382,5,2
3,4382,11,1
4,4382,1,2
4,4382,11,2
6,4382,11,2
8,4382,1,2
10,4382,1,2
11,4382,1,2
13,4382,2,2
17,4382,1,2
18,4382,8,2
19,4382,8,2
19,4382,11,2
2,4385,11,1
5,4385,11,2
7,4385,11,2
8,4385,11,1
9,4385,11,2
9,4385,11,2
9,4385,11,2
10,4385,11,1
12,4385,11,2
18,4385,11,2
1,4389,11,2
2,4389,11,2
3,4389,5,2
4,4389,11,2
5,4389,11,1
5,4389,11,1
5,4389,11,2
6,4389,5,2
7,4389,3,1
7,4389,5,1
7,4389,8,2
8,4389,11,2
9,4389,11,2
11,4389,8,2
11,4389,11,1
11,4389,11,1
13,4389,11,2
13,4389,11,2
14,4389,10,2
14,4389,11,2
14,4389,11,2
14,4389,11,2
15,4389,11,2
15,4389,11,1
16,4389,11,2
18,4389,8,2
19,4389,11,1
19,4389,11,2
20,4389,11,2
20,4389,11,2
20,4389,11,2
2,4392,7,1
3,4392,7,2
3,4392,10,2
5,4392,8,1
5,4392,10,1
10,4392,1,2
12,4392,10,2
13,4392,10,1
15,4392,1,2
15,4392,8,2
15,4392,10,1
2,4395,1,1
2,4395,7,1
5,4395,10,1
5,4395,10,1
6,4395,4,2
9,4395,10,1
9,4395,10,2
10,4395,10,2
10,4395,10,1
11,4395,3,2
11,4395,3,2
12,4395,10,1
12,4395,10,2
13,4395,1,2
14,4395,10,2
14,4395,10,2
16,4395,8,2
17,4395,4,2
17,4395,10,2
17,4395,10,2
18,4395,10,2
18,4395,10,2
19,4395,5,2
19,4395,10,2
20,4395,8,1
20,4395,10,2
20,4395,10,2
1,4399,5,1
1,4399,7,2
1,4399,8,2
3,4399,7,2
3,4399,8,2
4,4399,1,1
6,4399,8,2
11,4399,7,1
11,4399,8,1
12,4399,8,2
15,4399,1,2
15,4399,8,2
3,4402,5,1
3,4402,11,1
8,4402,10,2
9,4402,10,2
10,4402,10,2
1,4405,1,2
1,4405,8,2
